rule_id,category,topic,trigger,advice,why,dbe_note,priority,source
PR_AGEO_012,analytical,AGEO,assumed without proof,Never assume a midpoint or perpendicularity without proof.,Assumption loses method marks.,Every year the DBE flags 'assumed midpoint or perpendicular'. Prove it.,critical,dbe_diagnostic
PR_AGEO_013,analytical,AGEO,formula changed from information sheet,Use the information sheet formulas exactly as printed.,The sheet is the accepted form.,Quick tip — the DBE says 'use the info sheet'. No variations.,medium,exam_convention
PR_AGEO_014,analytical,AGEO,area formula not stated,State whether you're using ½ab sin C or ½ base × height.,State which formula you used.,Fun fact — the DBE says 'state which formula'. One line.,medium,exam_convention
PR_AGEO_015,analytical,AGEO,surds not simplified,Keep surd answers in simplest form unless a decimal is required.,Simplified surds match the memo.,Did you know — the DBE says 'simplify surds'. √80 = 4√5.,high,exam_convention
PR_TRIG_001,trigonometry,TRIG,reduction formula used without stating,Write the reduction or compound-angle formula before substituting.,Formula-first earns a method mark.,Every year the DBE says 'formula not stated'. Write the formula line.,high,dbe_diagnostic
PR_TRIG_002,trigonometry,TRIG,quadrant not identified,Show the quadrant when finding the sign of a trigonometric ratio.,Quadrant determines the sign.,Did you know — the DBE says 'quadrant not identified'. Use the CAST diagram.,high,exam_convention
PR_TRIG_003,trigonometry,TRIG,reference angle not shown,Write the reference angle clearly.,The reference angle gives the base value.,Fun fact — the DBE says 'reference angle shown'. One line.,medium,exam_convention
PR_TRIG_004,trigonometry,TRIG,general solution form wrong,"Write the general form first, then the specific solutions in the interval.",General solution comes first.,Did you know — the DBE says 'general solution form'. k ∈ ℤ required.,critical,dbe_diagnostic
PR_TRIG_005,trigonometry,TRIG,solutions outside interval kept,Reject any solutions that fall outside the given interval.,Only the given interval counts.,Quick tip — the DBE says 'reject solutions outside interval'. Circle them.,high,exam_convention
PR_TRIG_006,trigonometry,TRIG,graph features not labelled,"Label amplitude, period and intercepts on trig graphs.",Labels earn marks.,Did you know — the DBE says 'label amplitude and period'. Two marks.,medium,exam_convention
PR_TRIG_007,trigonometry,TRIG,tan asymptotes not drawn dotted,Draw the asymptotes of tan graphs with dotted lines.,Dotted shows asymptotes correctly.,Fun fact — the DBE notes 'dotted lines for asymptotes'.,low,exam_convention
PR_TRIG_008,trigonometry,TRIG,period written as interval,"Write the period as a single number, not an interval.",Period is one number.,"Did you know — the DBE says 'period as single number'. 180, not (0; 180).",medium,exam_convention
PR_TRIG_009,trigonometry,TRIG,identity proof from wrong side,Start with the more complicated side and work towards the other.,LHS → RHS is standard.,Every year the DBE says 'work on one side only'. The DBE flags candidates who work on both sides at once.,critical,dbe_diagnostic
PR_TRIG_010,trigonometry,TRIG,co-ratio application not shown,Show every application of a co-ratio or reduction formula.,Each application is a step.,Fun fact — the DBE says 'show every application'.,medium,exam_convention
PR_TRIG_011,trigonometry,TRIG,sine/cosine rule not stated,Write the rule before substituting.,Naming the rule is a mark.,Quick tip — the DBE says 'name the rule'. Sine rule? Cosine rule? Say which.,high,exam_convention
PR_TRIG_012,trigonometry,TRIG,diagram not labelled,Label the sides and angles on the diagram before substituting.,Labelled diagram prevents substitution errors.,Did you know — the DBE says 'redraw the triangle and label it'. Two marks.,high,exam_convention
PR_TRIG_013,trigonometry,TRIG,shared angle assumed,Never assume two triangles share an angle unless given or proven.,Assumption loses marks.,Fun fact — the DBE says 'assumed shared angle'. Prove it or state it as given.,medium,exam_convention
PR_TRIG_014,trigonometry,TRIG,degree symbol missing,Write the final angle in degrees with the degree symbol.,Symbol is part of the answer.,Quick tip — the DBE says '° on degrees'. One symbol.,medium,exam_convention
PR_TRIG_015,trigonometry,TRIG,quadratic trig equation not factored properly,Use the k-method if helpful and show the substitution.,Same factoring rule applies to trig.,Did you know — the DBE says 'factorise fully before solving'. Same as algebra.,high,exam_convention
PR_EUCL_001,euclidean,EUCL,reason missing next to statement,Write a reason for every statement on the same line or the line below.,Statement + reason is the mark structure.,Every year the DBE says 'no reason given'. Geometry without reasons is half the marks lost. Every statement. Every reason.,critical,dbe_diagnostic
PR_EUCL_002,euclidean,EUCL,reason not acceptable,Use only the acceptable reasons from the Examination Guidelines.,The reason must match the guideline list.,Did you know — the DBE says 'reasons not specific'. 'Opp angles of cyclic quad' is specific. 'Geometry' is not.,critical,dbe_diagnostic
PR_EUCL_003,euclidean,EUCL,angle names ambiguous,Name angles with three letters or numbered notation as given.,Consistent naming is required.,Fun fact — the DBE says 'T̂ vs T̂₁'. Use the number from the diagram.,critical,dbe_diagnostic
PR_EUCL_004,euclidean,EUCL,assumed diameter/tangent/equality,"Never assume a diameter, tangent, or equal line without proof.",Assumptions lose all method marks.,Every year the DBE flags 'assumptions without proof'. 13% of all errors in the last 12 years. Prove it or state it as given.,critical,dbe_diagnostic
PR_EUCL_005,euclidean,EUCL,similarity without three equal angle pairs,"When proving triangles similar, write the three pairs of equal angles with reasons.",Three angle pairs required.,"Did you know — the DBE says 'prove similarity with 3 angles'. Not 2, not 1. Three.",high,dbe_diagnostic
PR_EUCL_006,euclidean,EUCL,congruence condition not stated,"State the congruence condition (SAS, AAS, etc.).",The condition is a mark.,Fun fact — the DBE says 'state S A S'. Name the condition.,high,exam_convention
PR_EUCL_007,euclidean,EUCL,construction not dotted,Draw required construction with a dotted line and label it.,Dotted shows it's a construction.,Did you know — the DBE says 'dotted construction'. Solid lines look like given.,high,exam_convention
PR_EUCL_008,euclidean,EUCL,construction not stated,State the construction before using it in a proof.,The construction must be declared.,Every year the DBE says 'state the construction'. 'Draw KO produced' or 'Draw radius'.,critical,dbe_diagnostic
PR_EUCL_009,euclidean,EUCL,logical order broken,Keep logical order; prove intermediate results before final ones.,Order matters for the reasoning chain.,Did you know — the DBE flagged 'incoherent logical sequence' as a 2025 error. Prove prerequisites first.,critical,dbe_diagnostic
PR_EUCL_010,euclidean,EUCL,proportionality without parallel proof,First prove the lines are parallel before using the proportionality theorem.,The theorem requires parallel lines.,Fun fact — the DBE says 'prove parallel first'. The theorem depends on it.,high,exam_convention
PR_EUCL_011,euclidean,EUCL,converse not stated,Write 'converse of …' when using a converse theorem.,The converse has a different name.,Did you know — the DBE says 'confused theorem with converse'. Name it correctly.,high,dbe_diagnostic
PR_EUCL_012,euclidean,EUCL,extra lines added without stating,Do not invent lines unless the question requires a construction.,Extra lines confuse the diagram.,Quick tip — the DBE says 'only construct when needed'. Otherwise don't.,medium,exam_convention
PR_EUCL_013,euclidean,EUCL,calculated angles not on diagram,Fill in calculated angle sizes on the diagram as you proceed.,Updated diagram prevents rework.,Fun fact — the DBE says 'write angles on the diagram'. Two seconds.,medium,exam_convention
PR_EUCL_014,euclidean,EUCL,earlier results not referenced,Use earlier parts with a reference (e.g. 'proved in 10.1').,Linked parts earn the linkage mark.,Did you know — the DBE says 'reference previous parts'. One phrase.,high,exam_convention
PR_EUCL_015,euclidean,EUCL,no concluding statement,End with a clear concluding statement (e.g. '∴ triangles are similar').,The conclusion is the answer.,Every year the DBE says 'end with the required statement'. Say what you proved.,high,dbe_diagnostic
PR_STAT_001,statistics,STAT,a and b not written before regression equation,Write values of a and b before writing the regression equation.,a and b earn method marks.,Every year the DBE says 'a and b not written'. State them. Then the equation.,high,dbe_diagnostic
PR_STAT_002,statistics,STAT,a and b not rounded,Round a and b to the decimals required by the question.,Rounding is a mark.,Fun fact — the DBE says 'round a and b'. Match the question's decimals.,medium,exam_convention
PR_STAT_003,statistics,STAT,regression equation form wrong,Write the regression equation as ŷ = a + bx.,Standard form is expected.,Did you know — the DBE says 'swap a and b'. Check which is the intercept and which is the gradient.,high,dbe_diagnostic
PR_STAT_004,statistics,STAT,correlation interpretation incomplete,"When interpreting the correlation coefficient, state both strength and direction.",Both parts are required.,"Fun fact — the DBE says 'strength AND direction'. Both, not one.",high,exam_convention
PR_STAT_005,statistics,STAT,cumulative frequency confused with ordinary,Show how you obtained the ordinary frequencies from the cumulative ones.,Subtract the previous cumulative.,Every year the DBE flags 'cumulative read as ordinary frequency'. It's a 2025 high-severity error.,critical,dbe_diagnostic
PR_STAT_006,statistics,STAT,histogram bars not adjacent,Draw histograms with adjacent bars; no gaps.,Histograms have no gaps. Bar graphs do.,Did you know — the DBE says 'histogram bars adjacent'. No gaps.,high,exam_convention
PR_STAT_007,statistics,STAT,axes not labelled,Label axes of every graph clearly.,Axis labels are required.,Fun fact — the DBE says 'label the axes'. Two marks.,high,exam_convention
PR_STAT_008,statistics,STAT,reading construction lines not shown,Show horizontal and vertical lines when reading from an ogive.,Construction lines prove the read.,"Quick tip — the DBE says 'mark construction lines lightly'. Light pencil, on the graph.",medium,exam_convention
PR_STAT_009,statistics,STAT,SD formula not written,Write the standard deviation formula before substituting.,Formula-first is the method mark.,Did you know — the DBE says 'formula not written'. Write the formula structure first.,high,exam_convention
PR_STAT_010,statistics,STAT,population vs sample confused,Distinguish clearly between population and sample SD.,They differ by a factor.,Fun fact — the DBE says 'distinguish population from sample'. Read the question.,medium,exam_convention
PR_STAT_011,statistics,STAT,outlier comment without calculation,"When commenting on outliers, refer to the calculated values.",The rule (1.5 × IQR) must be stated.,Did you know — the DBE says 'state the rule and show the fences'. Two steps.,medium,exam_convention
PR_STAT_012,statistics,STAT,median position and value confused,Never confuse the position of a quartile with its value.,Position vs value — different things.,"Every year the DBE says 'position vs value confused'. State the position, then the value.",high,dbe_diagnostic
PR_STAT_013,statistics,STAT,boxplot five-number summary not used,Use the five-number summary from earlier in the box plot.,Box plots require five values.,Quick tip — the DBE says 'use your five-number summary'. Don't recalculate.,medium,exam_convention
PR_STAT_014,statistics,STAT,prediction without units,Write predictions with units and context.,Units earn a mark.,Fun fact — the DBE says 'prediction with units and context'. 'R216 455' or '216455 rands'.,high,exam_convention
PR_STAT_015,statistics,STAT,interpolation/extrapolation not noted,State whether the prediction is interpolation or extrapolation.,Context affects reliability.,Did you know — the DBE says 'state if interpolation'. Inside the range vs outside.,medium,exam_convention
PR_DIAG_001,diagram,all,pencil not used for diagrams,Use a sharp pencil for all diagrams and sketches.,Pencil is erasable and cleaner.,"Did you know — the DBE says 'pencil for diagrams, pen for answers'. Two different tools.",medium,exam_convention
PR_DIAG_002,diagram,all,axes drawn freehand,Draw axes with a ruler.,Straight axes are the marker's expectation.,Fun fact — the DBE says 'draw axes with a ruler'. Line looks better.,medium,exam_convention
PR_DIAG_003,diagram,all,given points not labelled,"Label every given point, line and angle on the diagram.",Labelled diagram supports reasoning.,Every year the DBE flags 'diagram not labelled with given info'. It's a mark.,high,dbe_diagnostic
PR_DIAG_004,diagram,all,calculated values not added,Add calculated values to the diagram as you obtain them.,Updated diagram prevents rework.,Did you know — the DBE says 'write calculated values on the diagram'. Two seconds.,high,exam_convention
PR_DIAG_005,diagram,all,asymptotes and constructions drawn solid,Use dotted lines for constructions and asymptotes.,Dotted distinguishes from givens.,Fun fact — the DBE says 'dotted for asymptotes and construction'. Solid looks like a given.,high,exam_convention
PR_DIAG_006,diagram,all,diagram redrawn unnecessarily,Don't redraw a diagram unless the original is too small or unclear.,Redrawing wastes time.,Quick tip — the DBE says 'keep the original unless it's unreadable'. Time saved.,low,exam_convention
PR_DIAG_007,diagram,all,diagram on different page to work,Keep the diagram on the same page as the working that refers to it.,Marker reads them together.,Did you know — the DBE says 'same page as the work'. Otherwise reference it.,medium,exam_convention
PR_DIAG_008,diagram,all,assumed lengths or angles,Do not assume lengths or angles from a diagram unless marked.,Assumption loses method marks.,"Every year the DBE flags 'assumed from diagram'. 13% of all errors in 12 years. If it's not marked, prove it.",critical,dbe_diagnostic
PR_DIAG_009,diagram,all,right angle symbol missing,Indicate right angles with the standard square symbol.,The symbol is the accepted notation.,Fun fact — the DBE says 'right angle square symbol'. One mark for one little square.,high,exam_convention
PR_DIAG_010,diagram,all,3D hidden edges not dotted,Make hidden edges dotted on 3D diagrams.,Dotted shows depth.,Did you know — the DBE says 'dotted hidden edges'. Otherwise the diagram looks flat.,medium,exam_convention
PR_CHECK_001,check,all,moved on without re-reading question,"Before moving on, re-read the question and check you answered every part.",Sub-questions are easy to miss.,Every year the DBE says 'incomplete sub-questions'. Re-read before moving on. It catches one or two marks every paper.,critical,dbe_diagnostic
PR_CHECK_002,check,all,'show that' answer doesn't end at the given result,Check that every 'show that' answer ends with the required result.,'Show that' must end at the given form.,Did you know — the DBE says 'show that must end at the required result'. Check before moving on.,high,exam_convention
PR_CHECK_003,check,all,inequality signs inconsistent,Verify all inequality solutions use the correct signs.,One wrong sign loses the mark.,Fun fact — the DBE says 'check your inequality signs'. 9 notation errors in ALG alone.,high,dbe_diagnostic
PR_CHECK_004,check,all,money not rounded,Confirm money answers are rounded to two decimals.,Money is always two decimals.,Did you know — the DBE says 'money two decimals'. Always.,high,exam_convention
PR_CHECK_005,check,all,geometric statement without reason,Ensure every geometric statement has an acceptable reason.,Reason is required.,Every year the DBE flags missing reasons in geometry. Most common single error in the corpus.,critical,dbe_diagnostic
PR_CHECK_006,check,all,calculator mode wrong,Check the calculator is still in the correct mode.,TRIG needs degrees.,"Fun fact — the DBE says 'check the mode before each question'. DEG, always, unless told otherwise.",high,exam_convention
PR_CHECK_007,check,all,extraneous roots kept,Look for negative roots or extraneous solutions to reject.,Squaring introduces extraneous roots.,"Did you know — the DBE says 'reject extraneous roots'. If you squared, check both.",high,exam_convention
PR_CHECK_008,check,all,final answer not indicated,Make sure the final answer is clearly indicated (boxed or underlined).,Marker finds the answer fast.,Every year the DBE says 'final answer not indicated'. Box it.,high,exam_convention
PR_CHECK_009,check,all,units missing,Confirm all units are present where required.,Units earn marks.,"Fun fact — the DBE says 'check units'. cm, m², R, degrees.",high,exam_convention
PR_CHECK_010,check,all,arithmetic slip,"If time remains, recalculate the first line of any long calculation.",Arithmetic slips hide in long calculations.,Did you know — the DBE says 're-check the first line'. Most slips are caught at the start.,medium,exam_convention
PR_DBE_001,diagram,all,assumed info from an unmarked diagram,Mark every given on the diagram before you start writing.,"Tick equal sides, arc equal angles, dot parallel lines.","Did you know — 13% of every DBE diagnostic report since 2014 is about learners assuming things the diagram doesn't give. 143 of 1,111 errors. Mark it or prove it.",critical,dbe_diagnostic
PR_DBE_002,all,all,learner did not notice conditional words,"Underline the instruction word (hence, show that, at least, correct to).",One word changes the required method.,The DBE reports mention 'reading for understanding' every year. ~4% of all errors. Underline the instruction word. It costs nothing.,critical,dbe_diagnostic
PR_DBE_003,all,all,learner moved to next sub-question without finishing,Finish the current part before starting the next.,Jumping confuses the marker and loses CA marks.,Did you know — the DBE says 'incomplete sub-question'. It happens because learners rush. One part at a time.,high,dbe_diagnostic
PR_DBE_004,all,all,sign flip on factorising or moving terms,Show the sign change on its own line when moving a term.,The sign change is the most common procedural error.,Every year the DBE flags sign errors. They're the #1 procedural mistake in 12 years. One line per sign change.,critical,dbe_diagnostic
PR_DBE_005,all,all,answer given as a single value when two were expected,"Check the expected number of answers (quadratics have 2, cubics have 3).",Partial answers lose half the marks.,"Did you know — the DBE says 'only one root given'. For a quadratic, you need both. Two values, two marks.",critical,dbe_diagnostic
PR_DBE_006,all,all,learner wrote in Afrikaans notation but answer expected in English,Match the terminology of the paper (bilingual exam).,Terms must match the language the paper uses.,"Fun fact — the DBE says 'bilingual mismatch'. If the paper says gradient, don't write helling unless the question uses it.",medium,dbe_diagnostic
PR_DBE_007,all,all,learner used unauthorised shortcut,Show the standard method the memo expects.,Shortcuts risk no method marks.,Did you know — the DBE says 'assumed method not accepted'. Standard method always.,high,dbe_diagnostic
PR_DBE_008,all,all,learner did not use the previous part's result,"When the question says 'hence', use the previous result and say so.",Hence questions depend on the previous answer.,Every year the DBE flags 'did not use previous result'. 'Hence' is a link. Show it.,high,dbe_diagnostic
PR_DBE_009,all,all,learner ignored 'leave in surd form' or 'exact form',Read the answer-form instruction and match it.,Wrong form loses the mark even with the right value.,"Fun fact — the DBE says 'surd form ignored'. Leave it in surd form when asked. Exact, not decimal.",high,dbe_diagnostic
PR_DBE_010,all,all,learner jumped 3 steps in one line,"One mathematical step per line, especially when transformations are involved.",Multi-step lines hide errors from the marker.,Did you know — the DBE says 'too many steps on one line'. Procedural errors are rising +2 per year. One step per line.,critical,dbe_diagnostic
